N,Identifier,dist(asec),prob. member,link ref,link comment,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,"#ref 
1850 - 2019"
4548,2MASS J00452065+4147171,2564.62,75,2009ApJ...703..420M,S,,20.813,18.136,16.583,15.272,M1I,4
9576,2MASS J00452244+4145127,2489.96,75,2009ApJ...703..420M,S,,21.559,19.558,18.269,16.859,~,2
6415,2MASS J00452263+4219186,4184.1,50,2007AJ....134..706K,S,,,,,,~,2
2918,2MASS J00452687+4126135,1928.42,0,2016ApJ...825...50G,B,,19.2,18.45,,,G5V,3
2919,2MASS J00452687+4126135,1928.42,75,2009ApJ...703..441D,S,,19.2,18.45,,,G5V,3
4565,2MASS J00452729+4132544,2091.64,50,2007AJ....134..706K,S,,,,,17.68,~,8
4566,2MASS J00452729+4132544,2091.64,75,2010MNRAS.402..803P,S,,,,,17.68,~,8
3464,2MASS J00452886+4138275,2284.22,100,2006AJ....131.2478M,B,,22.015,20.161,18.906,17.427,~,2
2652,2MASS J00452904+4120379,1875.61,0,2009AJ....137...94C,B,,,18.5,,,~,9
2653,2MASS J00452904+4120379,1875.61,0,2010MNRAS.402..803P,B,,,18.5,,,~,9
4573,2MASS J00453111+4148254,2694.95,75,2009ApJ...703..420M,S,,22.318,19.915,18.187,16.486,M1I,4
4576,2MASS J00453140+4134002,2164.11,100,2009ApJ...703..420M,S,,21.719,19.673,18.644,17.497,M1I,4
4577,2MASS J00453157+4138000,2293.11,75,2009ApJ...703..420M,S,,21.449,19.216,18.02,16.761,M1I,4
6426,2MASS J00453174+4128309,2025.84,50,2007AJ....134..706K,S,,,,,,~,3
2813,2MASS J00453355+4132320,2143.51,0,2009ApJ...703..441D,B,,15.37,14.559,14.044,13.671,~,3
3294,2MASS J00453481+4138434,2347.59,0,2009ApJ...703..441D,B,,13.94,13.47,13.24,13.01,~,4
6012,2MASS J00453695+4144183,2572.76,25,2009AJ....137...94C,S,,,16.7,,,~,3
6013,2MASS J00453695+4144183,2572.76,75,2007AJ....134..706K,S,,,16.7,,,~,3
5650,2MASS J00454082+4039514,2954.87,100,2007AJ....134..706K,S,19.79,19.26,18.42,17.92,17.47,~,3
4591,2MASS J00454215+4153475,3014.74,75,2009ApJ...703..420M,S,22.057,20.256,18.412,17.456,16.575,K1I,4
2814,2MASS J00454714+4134521,2343.62,0,2009ApJ...703..441D,B,,15.28,14.61,,,~,3
6524,2MASS J00454977+4131200,2277.54,0,2009ApJ...703..441D,B,,16.44,15.77,,,~,2
3246,2MASS J00460432+4144492,2830.41,75,2009ApJ...703..420M,S,,21.691,19.707,18.34,16.84,M2I,4
2623,2MASS J00460641+4120503,2294.06,0,2009AJ....137...94C,B,,16.61,15.72,,,~,6
3258,2MASS J00461119+4142132,2802.7,0,2009ApJ...703..441D,B,,14.53,14.055,13.732,13.511,~,3
3245,2MASS J00462090+4155455,3399.64,75,2009ApJ...703..420M,S,,21.691,19.761,18.645,17.32,M1I,4
2708,2MASS J00462418+4030110,3716.75,0,2009AJ....137...94C,B,,17.82,16.72,,,~,11
3467,2MASS J00462582+4210115,4083.03,100,2006AJ....131.2478M,B,22.717,20.962,19.075,18.206,17.353,K4I,5
3468,2MASS J00462582+4210115,4083.03,100,2009ApJ...703..420M,S,22.717,20.962,19.075,18.206,17.353,K4I,5
3469,2MASS J00462751+4209507,4078.41,100,2006AJ....131.2478M,B,,21.355,19.522,18.581,17.624,K2I,5
3470,2MASS J00462751+4209507,4078.41,100,2009ApJ...703..420M,S,,21.355,19.522,18.581,17.624,K2I,5
3466,2MASS J00463147+4211329,4186.14,75,2009ApJ...703..420M,S,,22.188,19.95,18.453,16.744,~,3
3471,2MASS J00463399+4211094,4184.71,75,2009ApJ...703..420M,S,,21.612,19.593,18.583,17.45,M1I,4
3474,2MASS J00463494+4209535,4132.39,75,2009ApJ...703..420M,S,22.699,21.853,19.947,19.017,18.019,~,3
3465,2MASS J00463562+4213555,4327.42,75,2009ApJ...703..420M,S,23.602,21.88,19.989,19.105,18.207,~,3
3461,2MASS J00463658+4212531,4284.4,75,2009ApJ...703..420M,S,22.49,21.522,19.835,18.923,17.997,~,3
3421,2MASS J00463817+4200087,3721.38,75,2009ApJ...703..420M,S,,21.884,19.656,18.213,16.634,M2I,4
3476,2MASS J00463997+4211545,4261.48,100,2006AJ....131.2478M,B,22.854,21.752,19.574,18.515,17.45,K5-M0I,5
3477,2MASS J00463997+4211545,4261.48,100,2009ApJ...703..420M,S,22.854,21.752,19.574,18.515,17.45,K5-M0I,5
3460,2MASS J00464010+4213258,4334.19,75,2009ApJ...703..420M,S,,21.635,19.703,18.665,17.514,~,3
6053,2MASS J00470036+4045279,3432.23,0,2010MNRAS.402..803P,B,,,,,,~,2
6054,2MASS J00470036+4045279,3432.23,75,2007AJ....134..706K,S,,,,,,~,2
3206,2MASS J00470094+4154445,3695.5,100,2009AJ....137...94C,B,18.04,17.45,16.8,16.33,16.09,~,18
3207,2MASS J00470094+4154445,3695.5,100,2010MNRAS.402..803P,B,18.04,17.45,16.8,16.33,16.09,~,18
3457,2MASS J00480687+4159346,4457.96,0,2009ApJ...703..441D,B,,13.65,13.234,,12.578,~,2
6081,2MASS J00483067+4155293,4546.63,75,2007AJ....134..706K,S,,,,,,~,2
6086,2MASS J00483670+4139084,4194.8,75,2007AJ....134..706K,S,,,,,,~,2
2854,2MASS J00493841+4045003,5045.01,0,2010MNRAS.402..803P,B,19.71,18.72,18.08,17.29,16.14,~,7
6515,2MASS J00510870+4211274,6549.66,50,2007AJ....134..706K,S,,,,,,~,2
373,2MASSI J0042094+411745,404.67,60,2008A&A...480..599S,S,,,17,,,~,23
374,2MASSI J0042094+411745,404.67,100,2009AJ....137...94C,B,,,17,,,~,23
375,2MASSI J0042094+411745,404.67,100,2010MNRAS.402..803P,B,,,17,,,~,23
376,2MASSI J0042094+411745,404.67,100,2016ApJ...824...42C,B,,,17,,,~,23
2463,2MASSI J0043372+411443,603.06,100,2008A&A...480..599S,S,16.91,16.48,15.58,14.98,14.47,~,69
2464,2MASSI J0043372+411443,603.06,100,2009AJ....137...94C,B,16.91,16.48,15.58,14.98,14.47,~,69
2465,2MASSI J0043372+411443,603.06,100,2010MNRAS.402..803P,B,16.91,16.48,15.58,14.98,14.47,~,69
2466,2MASSI J0043372+411443,603.06,100,2016ApJ...824...42C,B,16.91,16.48,15.58,14.98,14.47,~,69
4148,2MASX J00302731+4136193,8375.57,100,2010MNRAS.402..803P,B,,,16.31,,15.36,~,21
4149,2MASX J00302731+4136193,8375.57,100,2016ApJ...824...42C,B,,,16.31,,15.36,~,21
18,2MASX J00342097+4128176,5712.89,100,2009AJ....137...94C,B,18.46,18.043,17.137,16.571,15.72,~,21
19,2MASX J00342097+4128176,5712.89,100,2010MNRAS.402..803P,B,18.46,18.043,17.137,16.571,15.72,~,21
37,2MASX J00345529+4132263,5367.17,100,2009AJ....137...94C,B,18.93,18.43,17.36,16.74,15.86,~,8
3059,2MASX J00350474+4235316,6999.73,0,2009AJ....137...94C,B,,17.53,16.72,,,~,13
38,2MASX J00351301+4129073,5139.22,75,2010MNRAS.402..803P,S,19.5,19.16,18.12,17.41,16.43,~,8
39,2MASX J00351301+4129073,5139.22,100,2009AJ....137...94C,B,19.5,19.16,18.12,17.41,16.43,~,8
3057,2MASX J00351372+4235180,6917.97,0,2009AJ....137...94C,B,,17.4,16.32,,,~,16
16,2MASX J00355245+3957085,6667.57,0,2009AJ....137...94C,B,,17.36,16.6,,,~,11
33,2MASX J00362166+4128333,4371.54,0,2010MNRAS.402..803P,B,18.7,17.92,16.87,16.14,,~,9
34,2MASX J00362166+4128333,4371.54,100,2009AJ....137...94C,B,18.7,17.92,16.87,16.14,,~,9
1143,2MASX J00363072+4121533,4223.19,0,2010MNRAS.402..803P,B,18.74,18.87,17.67,17.04,,~,8
1144,2MASX J00363072+4121533,4223.19,100,2009AJ....137...94C,B,18.74,18.87,17.67,17.04,,~,8
1145,2MASX J00363100+4128383,4268.89,0,2010MNRAS.402..803P,B,18.89,18.73,17.43,16.69,,~,7
1146,2MASX J00363100+4128383,4268.89,100,2009AJ....137...94C,B,18.89,18.73,17.43,16.69,,~,7
1118,2MASX J00363299+4024533,5216.15,0,2007AJ....134..706K,S,,17.83,16.93,,,~,12
1119,2MASX J00363299+4024533,5216.15,0,2009AJ....137...94C,B,,17.83,16.93,,,~,12
1123,2MASX J00364692+4030474,4881.43,0,2009AJ....137...94C,B,,19.08,17.42,,,~,10
492,2MASX J00365019+4107104,4033.11,100,2009AJ....137...94C,B,16.94,16.94,16.31,16.42,,~,10
1311,2MASX J00365143+3938374,7101.55,0,2009AJ....137...94C,B,,18.25,17.3,,,~,11
530,2MASX J00365599+4008523,5653.94,0,2009AJ....137...94C,B,18.22,19.11,17.77,16.86,,~,9
531,2MASX J00365599+4008523,5653.94,0,2010MNRAS.402..803P,B,18.22,19.11,17.77,16.86,,~,9
1206,2MASX J00370142+3948353,6547.26,0,2009AJ....137...94C,B,19.7,19.24,17.9,17.16,15.93,~,8
1207,2MASX J00370142+3948353,6547.26,0,2010MNRAS.402..803P,B,19.7,19.24,17.9,17.16,15.93,~,8
532,2MASX J00370229+3948053,6565.82,0,2009AJ....137...94C,B,,,18.01,,,~,6
2981,2MASX J00370552+4202348,4710.21,0,2009AJ....137...94C,B,,18.68,17.93,,16.12,~,7
3103,2MASX J00372064+4218489,5220.65,0,2009AJ....137...94C,B,19.3,18.65,17.87,19.36,,~,5
533,2MASX J00372579+4004539,5602.59,0,2009AJ....137...94C,B,,20.39,17.83,,,~,7
1211,2MASX J00372841+4135439,3742.32,0,2010MNRAS.402..803P,B,19.68,18.96,17.85,17.12,16.13,~,8
1212,2MASX J00372841+4135439,3742.32,100,2009AJ....137...94C,B,19.68,18.96,17.85,17.12,16.13,~,8
1152,2MASX J00373529+4057519,3660.08,0,2010MNRAS.402..803P,B,19.37,19.06,17.83,17.24,,~,8
1153,2MASX J00373529+4057519,3660.08,100,2009AJ....137...94C,B,19.37,19.06,17.83,17.24,,~,8
1154,2MASX J00373674+3950109,6234.98,0,2009AJ....137...94C,B,16.85,16.83,16.5,16.27,,~,5
1307,2MASX J00373951+3946309,6401.73,0,2009AJ....137...94C,B,,,,,,~,7
536,2MASX J00374612+4005123,5441.93,0,2009AJ....137...94C,B,,,17.84,,,~,7
537,2MASX J00375061+4010394,5155.27,0,2009AJ....137...94C,B,,,17.58,,,~,7
538,2MASX J00375131+4010064,5175.23,0,2009AJ....137...94C,B,,,18.19,,,~,7
539,2MASX J00375131+4010064,5175.23,0,2010MNRAS.402..803P,B,,,18.19,,,~,7
1159,2MASX J00380439+4055316,3397.09,0,2010MNRAS.402..803P,B,18.92,18.68,17.62,17.34,,~,9
1160,2MASX J00380439+4055316,3397.09,100,2009AJ....137...94C,B,18.92,18.68,17.62,17.34,,~,9
1075,2MASX J00381864+3939587,6516.86,0,2009AJ....137...94C,B,,18.61,17.15,,,~,11
1563,2MASX J00382272+3958097,5545.49,0,2009AJ....137...94C,B,19.41,18.98,17.99,17.14,16.28,~,10
1162,2MASX J00382549+3952068,5840.27,0,2009AJ....137...94C,B,19.26,18.6,17.52,17.02,,~,6
1163,2MASX J00382549+3952068,5840.27,0,2010MNRAS.402..803P,B,19.26,18.6,17.52,17.02,,~,6
1215,2MASX J00383621+4045019,3371.37,0,2009AJ....137...94C,B,19.07,18.89,17.92,17.09,16.33,~,7
1216,2MASX J00383621+4045019,3371.37,0,2010MNRAS.402..803P,B,19.07,18.89,17.92,17.09,16.33,~,7
1170,2MASX J00384842+4004320,5064.64,0,2009AJ....137...94C,B,19.47,18.9,17.98,17.39,,~,6
1076,2MASX J00391515+4129160,2482.84,0,2009AJ....137...94C,B,,,17.44,,,~,10
1219,2MASX J00391836+4048260,2861.73,0,2009AJ....137...94C,B,19.83,19.51,18.37,17.48,16.63,~,10
1220,2MASX J00391836+4048260,2861.73,0,2010MNRAS.402..803P,B,19.83,19.51,18.37,17.48,16.63,~,10
1227,2MASX J00394012+4102144,2240.65,0,2009AJ....137...94C,B,,18.97,17.25,,,~,9
1251,2MASX J00394456+4052554,2463.57,100,2009AJ....137...94C,B,18.11,17.41,16.45,15.79,14.96,~,34
1252,2MASX J00394456+4052554,2463.57,100,2010MNRAS.402..803P,B,18.11,17.41,16.45,15.79,14.96,~,34
1253,2MASX J00394456+4052554,2463.57,100,2016ApJ...824...42C,B,18.11,17.41,16.45,15.79,14.96,~,34
1470,2MASX J00394856+4031304,3337.33,100,2007PASP..119....7K,S,16.57,16.55,16.24,16.03,15.58,~,51
1471,2MASX J00394856+4031304,3337.33,100,2009AJ....137...94C,B,16.57,16.55,16.24,16.03,15.58,~,51
1472,2MASX J00394856+4031304,3337.33,100,2010MNRAS.402..803P,B,16.57,16.55,16.24,16.03,15.58,~,51
1582,2MASX J00395100+4058104,2235.23,100,2009AJ....137...94C,B,18.82,18.33,16.92,16.47,15.41,~,36
1583,2MASX J00395100+4058104,2235.23,100,2010MNRAS.402..803P,B,18.82,18.33,16.92,16.47,15.41,~,36
1584,2MASX J00395100+4058104,2235.23,100,2016ApJ...824...42C,B,18.82,18.33,16.92,16.47,15.41,~,36
900,2MASX J00400098+4100574,2057.41,0,2009AJ....137...94C,B,,,17.84,,16.31,~,7
901,2MASX J00400098+4100574,2057.41,0,2010MNRAS.402..803P,B,,,17.84,,16.31,~,7
3110,2MASX J00400226+4209560,3703.45,0,2009AJ....137...94C,B,19.58,19.1,18.02,16.98,16.54,~,6
3111,2MASX J00400226+4209560,3703.45,0,2010MNRAS.402..803P,B,19.58,19.1,18.02,16.98,16.54,~,6
1342,2MASX J00401404+3941311,5929.84,0,2010MNRAS.402..803P,B,18.9,19.05,17.92,17.16,,~,8
1343,2MASX J00401404+3941311,5929.84,100,2009AJ....137...94C,B,18.9,19.05,17.92,17.16,,~,8
907,2MASX J00403611+4107331,1536.05,0,2009AJ....137...94C,B,17.27,17.81,16.56,,16.08,~,8
975,2MASX J00403845+4125241,1523.63,100,2009AJ....137...94C,B,18.56,18.06,17.19,16.6,15.96,~,34
976,2MASX J00403845+4125241,1523.63,100,2010MNRAS.402..803P,B,18.56,18.06,17.19,16.6,15.96,~,34
977,2MASX J00403845+4125241,1523.63,100,2016ApJ...824...42C,B,18.56,18.06,17.19,16.6,15.96,~,34
1190,2MASX J00404112+3958311,4863.13,0,2009AJ....137...94C,B,19.27,18.7,17.37,16.69,,~,8
1191,2MASX J00404112+3958311,4863.13,0,2010MNRAS.402..803P,B,19.27,18.7,17.37,16.69,,~,8
4026,2MASX J00404168+4038281,2652.34,100,2004PASJ...56.1025K,S,19.99,19.04,17.89,16.91,16.14,~,37
4027,2MASX J00404168+4038281,2652.34,100,2008ApJS..177..174N,B,19.99,19.04,17.89,16.91,16.14,~,37
4028,2MASX J00404168+4038281,2652.34,100,2009AJ....137...94C,B,19.99,19.04,17.89,16.91,16.14,~,37
4029,2MASX J00404168+4038281,2652.34,100,2010MNRAS.402..803P,B,19.99,19.04,17.89,16.91,16.14,~,37
980,2MASX J00404501+4059561,1661.45,100,2009AJ....137...94C,B,,19.2,17.87,16.93,15.9,~,33
981,2MASX J00404501+4059561,1661.45,100,2010MNRAS.402..803P,B,,19.2,17.87,16.93,15.9,~,33
982,2MASX J00404501+4059561,1661.45,100,2016ApJ...824...42C,B,,19.2,17.87,16.93,15.9,~,33
983,2MASX J00404516+4122098,1390.41,100,2009AJ....137...94C,B,18.86,18.58,17.58,16.85,16.15,~,28
984,2MASX J00404516+4122098,1390.41,100,2010MNRAS.402..803P,B,18.86,18.58,17.58,16.85,16.15,~,28
985,2MASX J00404516+4122098,1390.41,100,2016ApJ...824...42C,B,18.86,18.58,17.58,16.85,16.15,~,28
651,2MASX J00410067+3955539,4956.18,100,2009AJ....137...94C,B,18.29,17.762,16.869,16.27,15.57,~,27
652,2MASX J00410067+3955539,4956.18,100,2010MNRAS.402..803P,B,18.29,17.762,16.869,16.27,15.57,~,27
653,2MASX J00410067+3955539,4956.18,100,2016ApJ...824...42C,B,18.29,17.762,16.869,16.27,15.57,~,27
1192,2MASX J00410351+4029529,3000.87,0,2009AJ....137...94C,B,19.49,19.19,18.01,17.48,,~,5
1193,2MASX J00410351+4029529,3000.87,0,2010MNRAS.402..803P,B,19.49,19.19,18.01,17.48,,~,5
1194,2MASX J00411407+4006159,4315.42,0,2009AJ....137...94C,B,19.73,18.97,17.98,17.02,,~,7
992,2MASX J00411457+4124399,1133.32,100,2009AJ....137...94C,B,19.14,18.6,17.53,16.88,16.22,~,28
993,2MASX J00411457+4124399,1133.32,100,2010MNRAS.402..803P,B,19.14,18.6,17.53,16.88,16.22,~,28
994,2MASX J00411457+4124399,1133.32,100,2016ApJ...824...42C,B,19.14,18.6,17.53,16.88,16.22,~,28
3154,2MASX J00413355+4220359,3948.53,0,2009AJ....137...94C,B,18.95,18.46,16.84,,,~,8
3155,2MASX J00413355+4220359,3948.53,0,2010MNRAS.402..803P,B,18.95,18.46,16.84,,,~,8
564,2MASX J00414490+4016065,3663.31,0,2009AJ....137...94C,B,19.68,18.99,17.44,16.85,,~,9
565,2MASX J00414490+4016065,3663.31,0,2010MNRAS.402..803P,B,19.68,18.99,17.44,16.85,,~,9
1018,2MASX J00414670+4125195,851.93,100,2009AJ....137...94C,B,17.6,17.24,16.28,15.39,14.65,~,40
1019,2MASX J00414670+4125195,851.93,100,2010MNRAS.402..803P,B,17.6,17.24,16.28,15.39,14.65,~,40
1020,2MASX J00414670+4125195,851.93,100,2016ApJ...824...42C,B,17.6,17.24,16.28,15.39,14.65,~,40
1021,2MASX J00414697+4138094,1471.13,0,2009AJ....137...94C,B,19.8,18.62,17.21,16.54,15.77,~,13
1308,2MASX J00415654+4022594,3233.99,0,2009AJ....137...94C,B,,17.9,,,,~,9
1309,2MASX J00415654+4022594,3233.99,0,2010MNRAS.402..803P,B,,17.9,,,,~,9
1331,2MASX J00420023+4138329,1433.2,0,2009AJ....137...94C,B,19.33,18.58,17.24,16.61,15.82,~,14
1038,2MASX J00421213+4129280,878.77,0,2009AJ....137...94C,B,19.97,19.24,17.82,16.94,16,~,12
1039,2MASX J00421213+4129280,878.77,0,2010MNRAS.402..803P,B,19.97,19.24,17.82,16.94,16,~,12
1271,2MASX J00422012+4030310,2750.52,0,2009AJ....137...94C,B,19.71,19.15,17.51,16.93,15.94,~,10
1272,2MASX J00422012+4030310,2750.52,0,2010MNRAS.402..803P,B,19.71,19.15,17.51,16.93,15.94,~,10
1236,2MASX J00423322+4131244,925.4,100,2009AJ....137...94C,B,,,18.56,17.52,16.42,~,18
1237,2MASX J00423322+4131244,925.4,100,2010MNRAS.402..803P,B,,,18.56,17.52,16.42,~,18
1238,2MASX J00423322+4131244,925.4,100,2016ApJ...824...42C,B,,,18.56,17.52,16.42,~,18
1050,2MASX J00424006+4133464,1060.45,100,2009AJ....137...94C,B,19.95,19.2,17.65,16.84,15.71,~,25
1051,2MASX J00424006+4133464,1060.45,100,2010MNRAS.402..803P,B,19.95,19.2,17.65,16.84,15.71,~,25
1052,2MASX J00424006+4133464,1060.45,100,2016ApJ...824...42C,B,19.95,19.2,17.65,16.84,15.71,~,25
1107,2MASX J00430792+4017375,3520.49,0,2009AJ....137...94C,B,18.73,18.28,17.38,16.88,,~,7
1108,2MASX J00430792+4017375,3520.49,0,2010MNRAS.402..803P,B,18.73,18.28,17.38,16.88,,~,7
3117,2MASX J00430957+4224594,4141.25,0,2010MNRAS.402..803P,B,19.3,18.74,17.75,,,~,8
3118,2MASX J00430957+4224594,4141.25,100,2009AJ....137...94C,B,19.3,18.74,17.75,,,~,8
1344,2MASX J00431530+4015437,3640.76,100,2009AJ....137...94C,B,16.93,16.9,16.91,16.39,,~,8
1345,2MASX J00431903+4024128,3139.69,0,2009AJ....137...94C,B,19.46,19.14,17.56,16.92,,~,6
1346,2MASX J00431903+4024128,3139.69,0,2010MNRAS.402..803P,B,19.46,19.14,17.56,16.92,,~,6
2974,2MASX J00432253+4144058,1732.09,100,2009AJ....137...94C,B,20.82,19.23,18.41,16.69,15.72,~,24
2975,2MASX J00432253+4144058,1732.09,100,2010MNRAS.402..803P,B,20.82,19.23,18.41,16.69,15.72,~,24
2976,2MASX J00432253+4144058,1732.09,100,2016ApJ...824...42C,B,20.82,19.23,18.41,16.69,15.72,~,24
955,2MASX J00432653+4051518,1531.89,0,2009AJ....137...94C,B,,,18.19,,16.49,~,7
956,2MASX J00432653+4051518,1531.89,0,2010MNRAS.402..803P,B,,,18.19,,16.49,~,7
1363,2MASX J00433041+4049108,1698.61,100,2009AJ....137...94C,B,17.32,17.25,16.86,16.09,15.53,~,36
1364,2MASX J00433041+4049108,1698.61,100,2010MNRAS.402..803P,B,17.32,17.25,16.86,16.09,15.53,~,36
1365,2MASX J00433041+4049108,1698.61,100,2016ApJ...824...42C,B,17.32,17.25,16.86,16.09,15.53,~,36
765,2MASX J00434125+4054458,1434.1,0,2009AJ....137...94C,B,,,18.2,,,~,6
766,2MASX J00434125+4054458,1434.1,0,2010MNRAS.402..803P,B,,,18.2,,,~,6
1348,2MASX J00434133+3936458,5997.04,75,2010MNRAS.402..803P,S,17.18,16.83,16.17,15.82,,~,8
1349,2MASX J00434133+3936458,5997.04,100,2009AJ....137...94C,B,17.18,16.83,16.17,15.82,,~,8
3109,2MASX J00434166+4207575,3175.12,0,2009AJ....137...94C,B,18.71,18.34,17.12,,15.78,~,10
2478,2MASX J00434551+4136578,1426.83,100,2009A&A...495..733S,B,17.04,16.3,15.33,14.76,14.18,~,83
2479,2MASX J00434551+4136578,1426.83,100,2009AJ....137...94C,B,17.04,16.3,15.33,14.76,14.18,~,83
2480,2MASX J00434551+4136578,1426.83,100,2010MNRAS.402..803P,B,17.04,16.3,15.33,14.76,14.18,~,83
2481,2MASX J00434551+4136578,1426.83,100,2012ApJ...752...95J,B,17.04,16.3,15.33,14.76,14.18,~,83
2482,2MASX J00434551+4136578,1426.83,100,2016ApJ...824...42C,B,17.04,16.3,15.33,14.76,14.18,~,83
2536,2MASX J00435283+4109579,856.73,100,2009AJ....137...94C,B,17.17,16.68,16.18,15.32,15.21,~,39
2537,2MASX J00435283+4109579,856.73,100,2010MNRAS.402..803P,B,17.17,16.68,16.18,15.32,15.21,~,39
2538,2MASX J00435283+4109579,856.73,100,2016ApJ...824...42C,B,17.17,16.68,16.18,15.32,15.21,~,39
1083,2MASX J00435576+4001229,4557.11,0,2009AJ....137...94C,B,,18.73,17.12,,,~,9
3063,2MASX J00440998+4246578,5533.25,100,2009AJ....137...94C,B,17.97,17.59,16.631,16.013,15.35,~,25
3064,2MASX J00440998+4246578,5533.25,100,2010MNRAS.402..803P,B,17.97,17.59,16.631,16.013,15.35,~,25
3065,2MASX J00440998+4246578,5533.25,100,2016ApJ...824...42C,B,17.97,17.59,16.631,16.013,15.35,~,25
1138,2MASX J00441503+4056469,1548.28,100,2009AJ....137...94C,B,17.74,17.322,16.386,15.818,15.19,~,38
1139,2MASX J00441503+4056469,1548.28,100,2010MNRAS.402..803P,B,17.74,17.322,16.386,15.818,15.19,~,38
1140,2MASX J00441503+4056469,1548.28,100,2016ApJ...824...42C,B,17.74,17.322,16.386,15.818,15.19,~,38
3122,2MASX J00441917+4225107,4276.76,0,2009AJ....137...94C,B,19.03,19.68,18.1,,,~,5
3123,2MASX J00441917+4225107,4276.76,0,2010MNRAS.402..803P,B,19.03,19.68,18.1,,,~,5
872,2MASX J00442305+4133065,1507.22,100,2009AJ....137...94C,B,18.05,17.76,16.77,16.01,15.77,~,43
873,2MASX J00442305+4133065,1507.22,100,2010MNRAS.402..803P,B,18.05,17.76,16.77,16.01,15.77,~,43
874,2MASX J00442305+4133065,1507.22,100,2016ApJ...824...42C,B,18.05,17.76,16.77,16.01,15.77,~,43
967,2MASX J00442741+4050175,1939.57,0,2009AJ....137...94C,B,,,18.27,,17.25,~,9
968,2MASX J00442741+4050175,1939.57,0,2010MNRAS.402..803P,B,,,18.27,,17.25,~,9
879,2MASX J00443052+4110585,1237.2,0,2009AJ....137...94C,B,19.08,19.04,17.65,,16.74,~,15
880,2MASX J00443052+4110585,1237.2,0,2010MNRAS.402..803P,B,19.08,19.04,17.65,,16.74,~,15
1350,2MASX J00443081+4005555,4383.08,0,2009AJ....137...94C,B,18.41,19.19,17.96,17.24,,~,7
1351,2MASX J00443081+4005555,4383.08,0,2010MNRAS.402..803P,B,18.41,19.19,17.96,17.24,,~,7
3068,2MASX J00444399+4207298,3361.15,0,2009AJ....137...94C,B,18.76,18.87,17.46,16.62,,~,10
3069,2MASX J00444399+4207298,3361.15,0,2010MNRAS.402..803P,B,18.76,18.87,17.46,16.62,,~,10
785,2MASX J00445507+4116155,1474.04,0,2009AJ....137...94C,B,,,18.1,,16.12,~,6
786,2MASX J00445507+4116155,1474.04,0,2010MNRAS.402..803P,B,,,18.1,,16.12,~,6
2486,2MASX J00445796+4129235,1701.45,100,2009AJ....137...94C,B,17.52,17.12,16.42,15.72,15.28,~,42
2487,2MASX J00445796+4129235,1701.45,100,2010MNRAS.402..803P,B,17.52,17.12,16.42,15.72,15.28,~,42
2488,2MASX J00445796+4129235,1701.45,100,2016ApJ...824...42C,B,17.52,17.12,16.42,15.72,15.28,~,42
2644,2MASX J00450475+4108555,1642.11,0,2009AJ....137...94C,B,,,18.3,,,~,6
2645,2MASX J00450475+4108555,1642.11,0,2010MNRAS.402..803P,B,,,18.3,,,~,6
2785,2MASX J00451211+3952536,5270.32,0,2009AJ....137...94C,B,,18.39,16.74,,,~,9
3381,2MASX J00451273+4224082,4404.91,0,2009AJ....137...94C,B,18.51,18.45,17.4,,15.61,~,10
3382,2MASX J00451273+4224082,4404.91,0,2010MNRAS.402..803P,B,18.51,18.45,17.4,,15.61,~,10
3210,2MASX J00451437+4157405,3007.78,100,2009AJ....137...94C,B,17.32,17.15,16.28,15.63,15.11,~,39
3211,2MASX J00451437+4157405,3007.78,100,2010MNRAS.402..803P,B,17.32,17.15,16.28,15.63,15.11,~,39
3212,2MASX J00451437+4157405,3007.78,100,2012ApJ...752...95J,B,17.32,17.15,16.28,15.63,15.11,~,39
3213,2MASX J00451437+4157405,3007.78,100,2016ApJ...824...42C,B,17.32,17.15,16.28,15.63,15.11,~,39
3371,2MASX J00452222+4220563,4270.71,0,2009AJ....137...94C,B,18.91,18.44,17.53,,,~,9
3372,2MASX J00452222+4220563,4270.71,0,2010MNRAS.402..803P,B,18.91,18.44,17.53,,,~,9
2701,2MASX J00452251+3938595,6101.2,0,2009AJ....137...94C,B,18.05,18.1,17.51,16.66,,~,8
2702,2MASX J00452251+3938595,6101.2,0,2010MNRAS.402..803P,B,18.05,18.1,17.51,16.66,,~,8
2662,2MASX J00452502+4105185,1926.75,0,2009AJ....137...94C,B,,,18.01,,,~,9
3383,2MASX J00452790+4207033,3562.96,0,2009AJ....137...94C,B,,19.1,17.46,16.36,15.63,~,10
3384,2MASX J00452790+4207033,3562.96,0,2010MNRAS.402..803P,B,,19.1,17.46,16.36,15.63,~,10
2762,2MASX J00452917+4005495,4616.13,0,2009AJ....137...94C,B,19.37,19.24,17.64,17.01,,~,6
2763,2MASX J00452917+4005495,4616.13,0,2010MNRAS.402..803P,B,19.37,19.24,17.64,17.01,,~,6
3373,2MASX J00453006+4214193,3953.75,0,2009AJ....137...94C,B,,,,,,~,7
3394,2MASX J00453337+4200243,3263.42,100,2009AJ....137...94C,B,17.61,17.48,16.56,15.84,15.64,~,38
3395,2MASX J00453337+4200243,3263.42,100,2010MNRAS.402..803P,B,17.61,17.48,16.56,15.84,15.64,~,38
3396,2MASX J00453337+4200243,3263.42,100,2016ApJ...824...42C,B,17.61,17.48,16.56,15.84,15.64,~,38
