N,Identifier,dist(asec),prob. member,link ref,link comment,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,"#ref 
1850 - 2019"
2357,2MASS J00425965+4119192,258.06,100,2016ApJ...824...42C,B,17.78,17.14,15.98,15.48,14.94,~,78
2408,2MASS J00425986+4116055,175.14,100,2008A&A...480..599S,S,18.47,16.86,16.79,15.94,15.74,~,57
2409,2MASS J00425986+4116055,175.14,100,2009AJ....137...94C,B,18.47,16.86,16.79,15.94,15.74,~,57
2410,2MASS J00425986+4116055,175.14,100,2010MNRAS.402..803P,B,18.47,16.86,16.79,15.94,15.74,~,57
2411,2MASS J00425986+4116055,175.14,100,2012ApJ...752...95J,B,18.47,16.86,16.79,15.94,15.74,~,57
2412,2MASS J00425986+4116055,175.14,100,2016ApJ...824...42C,B,18.47,16.86,16.79,15.94,15.74,~,57
2588,2MASS J00430066+4103067,802.2,0,2009ApJ...703..441D,B,,14.057,13.759,13.504,13.31,~,6
1778,2MASS J00430078+4117466,210.13,0,2009ApJ...703..441D,B,,17.18,16.51,,,~,2
2575,2MASS J00430094+4049303,1608.14,0,2009ApJ...703..441D,B,,15.78,14.89,,13.823,~,3
307,2MASS J00430119+4116101,190.4,100,2009AJ....137...94C,B,19.12,,17.37,,16.13,~,19
308,2MASS J00430119+4116101,190.4,100,2010MNRAS.402..803P,B,19.12,,17.37,,16.13,~,19
309,2MASS J00430119+4116101,190.4,100,2012ApJ...752...95J,B,19.12,,17.37,,16.13,~,19
310,2MASS J00430119+4116101,190.4,100,2016ApJ...824...42C,B,19.12,,17.37,,16.13,~,19
2374,2MASS J00430144+4130171,871.27,100,2008A&A...480..599S,S,,,,,,~,12
2375,2MASS J00430144+4130171,871.27,100,2009A&A...495..733S,B,,,,,,~,12
1788,2MASS J00430179+4116064,196.94,100,2012ApJ...752...95J,B,20.18,20,,,16.8,~,3
1789,2MASS J00430179+4116064,196.94,100,2016ApJ...824...42C,B,20.18,20,,,16.8,~,3
4280,2MASS J00430267+4143037,1629.4,75,2009ApJ...703..420M,S,,21.123,18.925,17.849,16.751,M0I,4
2383,2MASS J00430292+4115225,214.4,100,2008A&A...480..599S,S,18.34,18.44,16.99,16.06,15.94,~,55
2384,2MASS J00430292+4115225,214.4,100,2009AJ....137...94C,B,18.34,18.44,16.99,16.06,15.94,~,55
2385,2MASS J00430292+4115225,214.4,100,2010MNRAS.402..803P,B,18.34,18.44,16.99,16.06,15.94,~,55
2386,2MASS J00430292+4115225,214.4,100,2012ApJ...752...95J,B,18.34,18.44,16.99,16.06,15.94,~,55
2387,2MASS J00430292+4115225,214.4,100,2016ApJ...824...42C,B,18.34,18.44,16.99,16.06,15.94,~,55
149,2MASS J00430330+4121215,379.9,0,2008A&A...480..599S,S,17.57,16.64,15.71,,14.73,~,67
150,2MASS J00430330+4121215,379.9,100,2009AJ....137...94C,B,17.57,16.64,15.71,,14.73,~,67
151,2MASS J00430330+4121215,379.9,100,2010MNRAS.402..803P,B,17.57,16.64,15.71,,14.73,~,67
152,2MASS J00430330+4121215,379.9,100,2016ApJ...824...42C,B,17.57,16.64,15.71,,14.73,~,67
2414,2MASS J00430386+4118047,249.44,100,2007PASP..119....7K,S,16.8,16.82,15.77,15.4,14.83,~,77
2415,2MASS J00430386+4118047,249.44,100,2008A&A...480..599S,S,16.8,16.82,15.77,15.4,14.83,~,77
2416,2MASS J00430386+4118047,249.44,100,2009AJ....137...94C,B,16.8,16.82,15.77,15.4,14.83,~,77
2417,2MASS J00430386+4118047,249.44,100,2010MNRAS.402..803P,B,16.8,16.82,15.77,15.4,14.83,~,77
2418,2MASS J00430386+4118047,249.44,100,2012ApJ...752...95J,B,16.8,16.82,15.77,15.4,14.83,~,77
2419,2MASS J00430386+4118047,249.44,100,2016ApJ...824...42C,B,16.8,16.82,15.77,15.4,14.83,~,77
1749,2MASS J00430576+4107423,560.03,75,2009ApJ...703..420M,S,21.842,21.217,18.901,17.624,,M0I,6
4288,2MASS J00430659+4138061,1342.26,75,2009ApJ...703..420M,S,,22.381,19.906,18.251,16.595,M1I,4
1783,2MASS J00430672+4115130,258.32,0,2009ApJ...703..441D,B,,17.14,16.19,,,~,2
153,2MASS J00430751+4120194,363.03,60,2008A&A...480..599S,S,18.31,17.9,16.62,16.3,15.57,~,42
154,2MASS J00430751+4120194,363.03,100,2009AJ....137...94C,B,18.31,17.9,16.62,16.3,15.57,~,42
155,2MASS J00430751+4120194,363.03,100,2010MNRAS.402..803P,B,18.31,17.9,16.62,16.3,15.57,~,42
156,2MASS J00430751+4120194,363.03,100,2016ApJ...824...42C,B,18.31,17.9,16.62,16.3,15.57,~,42
1701,2MASS J00430762+4138264,1364.42,0,2009ApJ...703..441D,B,,14.901,14.46,14.146,13.903,~,3
1678,2MASS J00430889+4105380,687.84,0,2009ApJ...703..441D,B,,14.14,13.79,13.47,13.264,~,5
2497,2MASS J00430986+4119006,335.75,0,2009ApJ...703..441D,B,19.64,19.13,18.1,17.07,16.48,~,32
2498,2MASS J00430986+4119006,335.75,60,2008A&A...480..599S,S,19.64,19.13,18.1,17.07,16.48,~,32
2499,2MASS J00430986+4119006,335.75,100,2007AJ....134..706K,S,19.64,19.13,18.1,17.07,16.48,~,32
2500,2MASS J00430986+4119006,335.75,100,2010MNRAS.402..803P,B,19.64,19.13,18.1,17.07,16.48,~,32
2501,2MASS J00430986+4119006,335.75,100,2016ApJ...824...42C,B,19.64,19.13,18.1,17.07,16.48,~,32
1785,2MASS J00431086+4116418,301.09,0,2009ApJ...703..441D,B,,16.03,15.41,,,~,2
5380,2MASS J00431130+4144239,1723.47,75,2003AJ....126..175B,S,,17.38,17.05,,16.5,~,1
4296,2MASS J00431239+4137470,1337.39,75,2003AJ....126..175B,S,21.081,21.33,19.358,17.81,16.103,M2I,5
4297,2MASS J00431239+4137470,1337.39,75,2009ApJ...703..420M,S,21.081,21.33,19.358,17.81,16.103,M2I,5
5381,2MASS J00431344+4150445,2102.67,75,2003AJ....126..175B,S,21.892,20.905,18.938,17.973,16.995,M0I,4
5382,2MASS J00431344+4150445,2102.67,100,2009ApJ...703..420M,S,21.892,20.905,18.938,17.973,16.995,M0I,4
1702,2MASS J00431461+4134096,1134.53,0,2009ApJ...703..441D,B,,14.752,14.365,14.08,13.858,~,3
794,2MASS J00431464+4125133,643.89,100,2008A&A...480..599S,S,19.31,18.08,17.35,16.53,16.12,~,36
795,2MASS J00431464+4125133,643.89,100,2009AJ....137...94C,B,19.31,18.08,17.35,16.53,16.12,~,36
796,2MASS J00431464+4125133,643.89,100,2010MNRAS.402..803P,B,19.31,18.08,17.35,16.53,16.12,~,36
797,2MASS J00431464+4125133,643.89,100,2016ApJ...824...42C,B,19.31,18.08,17.35,16.53,16.12,~,36
3007,2MASS J00431488+4158429,2578.23,0,2009AJ....137...94C,B,,19.47,17.89,17.06,,~,5
1679,2MASS J00431521+4104153,793.01,0,2009ApJ...703..441D,B,,14.657,14.15,13.758,13.503,~,4
168,2MASS J00431541+4111251,450.29,100,2008A&A...480..599S,S,17.27,17.14,16.3,15.82,15.32,~,53
169,2MASS J00431541+4111251,450.29,100,2009AJ....137...94C,B,17.27,17.14,16.3,15.82,15.32,~,53
170,2MASS J00431541+4111251,450.29,100,2010MNRAS.402..803P,B,17.27,17.14,16.3,15.82,15.32,~,53
171,2MASS J00431541+4111251,450.29,100,2012ApJ...752...95J,B,17.27,17.14,16.3,15.82,15.32,~,53
172,2MASS J00431541+4111251,450.29,100,2016ApJ...824...42C,B,17.27,17.14,16.3,15.82,15.32,~,53
6329,2MASS J00431591+4130329,935.62,50,2007AJ....134..706K,S,21.2,20.28,18.75,17.86,17.21,~,6
6330,2MASS J00431591+4130329,935.62,100,2016ApJ...824...42C,B,21.2,20.28,18.75,17.86,17.21,~,6
4304,2MASS J00431895+4141591,1599.63,0,2009ApJ...703..441D,B,,18.34,17.64,,,~,2
6331,2MASS J00432141+4023562,3159.52,0,2010MNRAS.402..803P,B,,,,,,~,3
6332,2MASS J00432141+4023562,3159.52,50,2007AJ....134..706K,S,,,,,,~,3
2425,2MASS J00432235+4110283,547.08,75,2009ApJ...703..420M,S,21.949,21.153,19.222,18.323,17.33,~,3
2427,2MASS J00432517+4106058,757.92,75,2009ApJ...703..420M,S,22.338,21.989,19.979,18.576,16.842,M1I,4
4312,2MASS J00432641+4138168,1411.08,75,2003AJ....126..175B,S,21.405,21.169,18.978,17.944,16.886,M1I,5
4313,2MASS J00432641+4138168,1411.08,75,2009ApJ...703..420M,S,21.405,21.169,18.978,17.944,16.886,M1I,5
2429,2MASS J00432869+4108164,687.52,75,2009ApJ...703..420M,S,,21.75,19.812,18.754,17.434,M2I,4
805,2MASS J00433010+4114369,524.13,0,2009AJ....137...94C,B,17.96,17.6,16.74,,,~,12
3042,2MASS J00433257+4141434,1628.91,0,2009ApJ...703..441D,B,,14.409,13.737,13.467,13.21,~,3
2617,2MASS J00433260+4109092,686.81,60,2008A&A...480..599S,S,,11.58,10.8,,,K0,5
5581,2MASS J00433418+4143383,1743.3,100,2007AJ....134..706K,S,19.84,19.42,18.65,18.2,17.78,~,4
1300,2MASS J00433667+4108121,758.18,100,2008A&A...480..599S,S,16.76,16.36,15.42,14.82,14.27,~,60
1301,2MASS J00433667+4108121,758.18,100,2009AJ....137...94C,B,16.76,16.36,15.42,14.82,14.27,~,60
1302,2MASS J00433667+4108121,758.18,100,2010MNRAS.402..803P,B,16.76,16.36,15.42,14.82,14.27,~,60
1303,2MASS J00433667+4108121,758.18,100,2016ApJ...824...42C,B,16.76,16.36,15.42,14.82,14.27,~,60
1391,2MASS J00433768+4110407,684.69,90,2004yCat.2250....0S,S,,,16.3,,,~,4
9551,2MASS J00433797+4145405,1872.59,75,2009ApJ...703..420M,S,,21.811,19.98,18.901,18.395,K1I,3
3043,2MASS J00434022+4144431,1826.94,0,2009ApJ...703..441D,B,,15.252,14.76,14.578,14.362,~,3
9241,2MASS J00434118+4200578,2764.7,0,2009ApJ...703..441D,B,,17.63,16.33,,,~,2
1859,2MASS J00434183+4111120,713.03,100,2006AJ....131.2478M,B,17.242,18.002,17.547,17.14,16.853,cLBV,10
1860,2MASS J00434183+4111120,713.03,100,2014ApJ...790...48H,B,17.242,18.002,17.547,17.14,16.853,cLBV,10
2168,2MASS J00434275+4114425,664.2,100,2009ApJ...703..420M,S,,22.373,19.935,18.501,16.933,M1I,5
2432,2MASS J00434619+4115149,699.39,75,2009ApJ...703..420M,S,23.277,21.471,19.066,17.722,16.329,K5-M0I,4
9566,2MASS J00434709+4115101,710.04,75,2009ApJ...703..420M,S,,22.009,19.956,18.849,17.692,K5I,3
2433,2MASS J00434732+4112036,751.18,75,2009ApJ...703..420M,S,,22.119,19.519,18.029,16.348,~,3
2434,2MASS J00434756+4110284,789.76,75,2009ApJ...703..420M,S,,21.901,19.739,18.474,16.899,M1I,4
4335,2MASS J00434803+4131178,1158.71,75,2003AJ....126..175B,S,,22.86,22.15,,,~,2
835,2MASS J00434857+4042368,2138.12,100,2009AJ....137...94C,B,18.35,18.047,17.401,16.747,16.1,~,31
836,2MASS J00434857+4042368,2138.12,100,2010MNRAS.402..803P,B,18.35,18.047,17.401,16.747,16.1,~,31
837,2MASS J00434857+4042368,2138.12,100,2016ApJ...824...42C,B,18.35,18.047,17.401,16.747,16.1,~,31
2435,2MASS J00435235+4110166,843.83,75,2009ApJ...703..420M,S,22.967,21.572,19.653,18.609,17.359,K5I,4
4351,2MASS J00435393+4152017,2291.65,75,2009ApJ...703..420M,S,,21.447,19.367,18.327,17.287,M0I,4
2437,2MASS J00435450+4111082,846.33,100,2009ApJ...703..420M,S,,22.09,19.913,18.561,16.918,M3I,4
5919,2MASS J00435510+4129078,1115.13,75,2007AJ....134..706K,S,,,,,,~,2
4354,2MASS J00435619+4137171,1505.28,100,2009ApJ...703..420M,S,21.3,21.303,19.418,18.346,17.197,M2I,4
1872,2MASS J00435642+4122027,886.55,90,2009ApJ...703..441D,S,16.98,16.67,15.68,15.17,14.62,~,50
1873,2MASS J00435642+4122027,886.55,100,2008A&A...480..599S,S,16.98,16.67,15.68,15.17,14.62,~,50
1874,2MASS J00435642+4122027,886.55,100,2009A&A...495..733S,B,16.98,16.67,15.68,15.17,14.62,~,50
1875,2MASS J00435642+4122027,886.55,100,2009AJ....137...94C,B,16.98,16.67,15.68,15.17,14.62,~,50
1876,2MASS J00435642+4122027,886.55,100,2010MNRAS.402..803P,B,16.98,16.67,15.68,15.17,14.62,~,50
1877,2MASS J00435642+4122027,886.55,100,2016ApJ...824...42C,B,16.98,16.67,15.68,15.17,14.62,~,50
4361,2MASS J00435839+4121583,905.1,0,2009ApJ...703..441D,B,,19.29,18.43,,,~,2
9567,2MASS J00435962+4126191,1045.52,75,2009ApJ...703..420M,S,22.226,21.232,19.378,18.338,17.126,K4-K5I,3
4374,2MASS J00440280+4149217,2180.34,100,2009ApJ...703..420M,S,21.099,21.635,19.836,18.859,17.886,K5I,4
5384,2MASS J00440351+4142078,1796.15,75,2003AJ....126..175B,S,,20.38,,,,~,1
9568,2MASS J00440574+4115518,918.04,100,2009ApJ...703..420M,S,22.329,21.652,19.699,18.546,17.359,~,2
2167,2MASS J00440660+4115363,928.13,75,2009ApJ...703..420M,S,,22.413,19.909,18.402,16.812,~,3
5929,2MASS J00440790+4147023,2078.74,75,2007AJ....134..706K,S,17.87,,,,17.48,~,4
9570,2MASS J00441264+4139476,1732.74,75,2009ApJ...703..420M,S,,21.818,19.856,18.671,17.373,M2I,3
4402,2MASS J00441451+4154454,2529.23,75,2009ApJ...703..420M,S,,21.701,19.786,18.663,17.462,M1I,4
1985,2MASS J00441542+4134089,1489.87,75,2003AJ....126..175B,S,21.649,21.535,19.54,18.526,17.612,K2I,6
1986,2MASS J00441542+4134089,1489.87,100,2006AJ....131.2478M,B,21.649,21.535,19.54,18.526,17.612,K2I,6
1987,2MASS J00441542+4134089,1489.87,100,2009ApJ...703..420M,S,21.649,21.535,19.54,18.526,17.612,K2I,6
2590,2MASS J00441622+4116451,1036.62,0,2009ApJ...703..441D,B,,14.43,13.91,13.565,13.34,~,4
6362,2MASS J00441740+4149173,2247.49,25,2009AJ....137...94C,S,,,18.65,,,~,3
6363,2MASS J00441740+4149173,2247.49,50,2007AJ....134..706K,S,,,18.65,,,~,3
4417,2MASS J00442049+4146503,2135.98,75,2003AJ....126..175B,S,,21.723,19.766,18.68,17.516,M1I,5
4418,2MASS J00442049+4146503,2135.98,100,2009ApJ...703..420M,S,,21.723,19.766,18.68,17.516,M1I,5
5276,2MASS J00442053+4149559,2297.71,10,2003AJ....126..175B,S,,16.97,16.67,,16.38,~,1
1931,2MASS J00442237+4138505,1753.1,90,2003AJ....126..175B,S,,18.68,17.8,,16.62,~,5
9571,2MASS J00442316+4121079,1153.33,100,2009ApJ...703..420M,S,,21.703,19.756,18.607,17.526,K1I,3
4426,2MASS J00442350+4150263,2340.52,90,2003AJ....126..175B,S,,22.37,21.17,,19.739,~,3
4427,2MASS J00442350+4150263,2340.52,100,2015MNRAS.451..724W,B,,22.37,21.17,,19.739,~,3
2123,2MASS J00442363+4122169,1178.15,100,2009ApJ...703..420M,S,,21.947,19.629,18.407,17.078,K5I,4
2121,2MASS J00442481+4123278,1214.55,75,2009ApJ...703..420M,S,21.484,20.65,18.801,17.738,16.676,~,4
2124,2MASS J00442495+4123222,1213.84,100,2009ApJ...703..420M,S,,22.092,19.98,18.482,16.724,M3I,4
1992,2MASS J00442521+4132110,1488.83,100,2009ApJ...703..420M,S,,21.967,19.978,18.705,17.297,M1I,4
4433,2MASS J00442526+4155163,2607.52,100,2009ApJ...703..420M,S,,21.688,19.626,18.505,17.288,~,3
1960,2MASS J00442575+4136594,1693.53,100,2009ApJ...703..420M,S,21.478,21.451,19.4,18.398,17.363,K2I,4
4446,2MASS J00442845+4151306,2423.57,75,2003AJ....126..175B,S,,20.696,18.272,16.899,15.466,M1I,5
4447,2MASS J00442845+4151306,2423.57,75,2009ApJ...703..420M,S,,20.696,18.272,16.899,15.466,M1I,5
2122,2MASS J00443046+4124356,1298.81,100,2009ApJ...703..420M,S,22.058,21.629,19.538,18.16,16.546,~,4
4597,2MASS J00443054+4152055,2465.28,90,2003AJ....126..175B,S,,20.17,20.73,,18.76,~,2
4232,2MASS J00443164+4156289,2704.13,75,2009ApJ...703..420M,S,22.247,21.09,,17.695,,~,4
9572,2MASS J00443226+4151581,2468.32,75,2009ApJ...703..420M,S,,22.05,19.983,18.583,16.984,M1I,3
5385,2MASS J00443372+4152241,2499.12,75,2003AJ....126..175B,S,19.156,18.375,17.277,16.715,16.125,KI:,4
5386,2MASS J00443372+4152241,2499.12,100,2006AJ....131.2478M,B,19.156,18.375,17.277,16.715,16.125,KI:,4
1708,2MASS J00443421+4121167,1276.11,0,2009ApJ...703..441D,B,,15.34,14.225,13.609,13.2,~,3
6381,2MASS J00443754+4208497,3406.92,50,2007AJ....134..706K,S,,,,,,~,2
5387,2MASS J00443857+4143355,2088.87,75,2003AJ....126..175B,S,,,20.61,,18.58,~,1
1709,2MASS J00443971+4126164,1434.94,0,2009ApJ...703..441D,B,,14.57,14.27,13.85,,~,3
5389,2MASS J00444222+4151227,2495.12,75,2003AJ....126..175B,S,,21.105,19.18,18.212,17.235,~,3
5390,2MASS J00444222+4151227,2495.12,100,2009ApJ...703..420M,S,,21.105,19.18,18.212,17.235,~,3
9573,2MASS J00444253+4126286,1468.76,75,2009ApJ...703..420M,S,,21.427,19.524,18.48,17.341,M0I,3
5964,2MASS J00444289+4125058,1439.72,25,2009AJ....137...94C,S,,,,,,~,3
5965,2MASS J00444289+4125058,1439.72,75,2007AJ....134..706K,S,,,,,,~,3
4474,2MASS J00444289+4133261,1690.26,25,2009AJ....137...94C,S,18.37,,17.78,,16.97,~,8
4475,2MASS J00444289+4133261,1690.26,75,2007AJ....134..706K,S,18.37,,17.78,,16.97,~,8
4476,2MASS J00444289+4133261,1690.26,75,2010MNRAS.402..803P,S,18.37,,17.78,,16.97,~,8
4484,2MASS J00444706+4128014,1555.3,100,2009ApJ...703..420M,S,,21.887,19.34,17.94,,M2.5I,3
3012,2MASS J00444738+4151569,2555,0,2009AJ....137...94C,B,,17.28,16.55,,,~,5
1961,2MASS J00444773+4130498,1645.33,75,2009ApJ...703..420M,S,,22.091,19.769,18.251,16.591,M3I,6
4487,2MASS J00444923+4139340,1987.43,75,2003AJ....126..175B,S,,23.11,21.11,,,~,2
4491,2MASS J00444979+4152103,2580.78,75,2003AJ....126..175B,S,,18.21,17.67,,17.06,~,2
9574,2MASS J00445296+4154076,2698.51,75,2009ApJ...703..420M,S,,21.777,19.663,18.384,17.203,K2I,3
2591,2MASS J00445430+4132529,1774.63,0,2009ApJ...703..441D,B,,13.18,12.954,12.724,12.546,~,4
4505,2MASS J00445449+4130074,1688.62,75,2009ApJ...703..420M,S,,21.827,19.668,18.296,16.821,M1I,4
4509,2MASS J00445787+4154046,2725.79,75,2009ApJ...703..420M,S,,21.685,19.574,18.372,17.053,M1I,4
4510,2MASS J00445805+4130539,1746.46,75,2009ApJ...703..420M,S,22.162,22.078,19.364,18.087,16.704,M1I,4
4517,2MASS J00450251+4129265,1748.49,100,2009ApJ...703..420M,S,,20.668,18.566,17.506,16.533,K2I,4
2892,2MASS J00450380+4137366,2030.11,100,2006AJ....131.2478M,B,21.442,21.449,19.885,18.494,16.762,~,3
5996,2MASS J00450588+4041077,2641.48,0,2010MNRAS.402..803P,B,,,,,,~,2
5997,2MASS J00450588+4041077,2641.48,75,2007AJ....134..706K,S,,,,,,~,2
4525,2MASS J00450786+4131088,1849.62,75,2009ApJ...703..420M,S,,21.335,19.142,18.012,16.757,M3I,4
4526,2MASS J00450788+4134271,1953.65,100,2009ApJ...703..420M,S,,21.955,19.999,18.726,17.312,~,3
3397,2MASS J00450929+4202393,3230.06,0,2009AJ....137...94C,B,19.39,19.3,17.25,16.18,14.743,~,12
2891,2MASS J00450932+4136328,2039.62,100,2006AJ....131.2478M,B,,21.126,19.429,18.318,17.028,~,3
2809,2MASS J00450959+4127292,1771.78,0,2009ApJ...703..441D,B,,15.41,14.73,,,~,3
9575,2MASS J00450975+4146509,2462.8,75,2009ApJ...703..420M,S,,21.579,19.433,18.36,17.305,M1I,3
3296,2MASS J00450988+4138436,2125.25,100,2006AJ....131.2478M,B,,21.334,19.139,18.002,16.733,M1I,6
3297,2MASS J00450988+4138436,2125.25,100,2009ApJ...703..420M,S,,21.334,19.139,18.002,16.733,M1I,6
2824,2MASS J00451146+4131547,1907.42,0,2009ApJ...703..441D,B,,14.44,13.474,12.91,12.53,~,4
2889,2MASS J00451278+4135598,2051.54,75,2009ApJ...703..420M,S,,21.856,19.77,18.537,17.224,K1I,4
2836,2MASS J00451490+4137348,2126.9,75,2009ApJ...703..420M,S,,21.816,19.545,17.765,16.06,M1I,6
4537,2MASS J00451493+4146256,2483.05,100,2009ApJ...703..420M,S,,21.631,19.689,18.552,17.376,M2I,4
6408,2MASS J00451536+4147403,2541.48,50,2007AJ....134..706K,S,,,,,,~,2
