N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
9256,[DMM2009] J004343.98+404930.5,1734.15,0,2009ApJ...703..441D,,18.99,18.2,,1
9257,[DMM2009] J004344.69+410053.7,1140.31,0,2009ApJ...703..441D,,18.45,17.76,,1
9258,[DMM2009] J004345.27+404659.7,1879.4,0,2009ApJ...703..441D,,18.04,17.09,,1
9259,[DMM2009] J004345.50+405313.1,1538.91,0,2009ApJ...703..441D,,16.81,15.88,,1
9260,[DMM2009] J004345.88+420238.1,2874.37,0,2009ApJ...703..441D,,17.52,16.78,,1
9262,[DMM2009] J004346.33+415717.5,2565.92,0,2009ApJ...703..441D,,18.38,17.65,,1
9263,[DMM2009] J004346.49+415129.3,2233.38,0,2009ApJ...703..441D,,17.11,16.37,,1
9264,[DMM2009] J004347.06+410705.9,891.6,0,2009ApJ...703..441D,,18.71,18.03,,1
9265,[DMM2009] J004347.31+420120.7,2803.3,0,2009ApJ...703..441D,,16.12,15.54,,1
9268,[DMM2009] J004348.16+415310.7,2335.57,0,2009ApJ...703..441D,,16.94,16.32,,1
9269,[DMM2009] J004348.24+420656.1,3131.36,0,2009ApJ...703..441D,,16.95,16.37,,1
9270,[DMM2009] J004348.25+405924.8,1235.84,0,2009ApJ...703..441D,,18.74,18.08,,1
9271,[DMM2009] J004348.67+415551.7,2490.86,0,2009ApJ...703..441D,,17.6,16.75,,1
9272,[DMM2009] J004349.19+412209.5,815.27,0,2009ApJ...703..441D,,16.34,15.61,,1
9273,[DMM2009] J004349.45+415255.7,2325.81,0,2009ApJ...703..441D,,18.93,17.8,,1
9274,[DMM2009] J004349.82+415041.5,2200.19,0,2009ApJ...703..441D,,16.72,15.98,,1
9275,[DMM2009] J004349.87+415048.0,2206.54,0,2009ApJ...703..441D,,17.52,16.68,,1
9276,[DMM2009] J004350.33+411655.9,745.52,0,2009ApJ...703..441D,,17.76,17.01,,1
9277,[DMM2009] J004350.33+412255.1,847.6,0,2009ApJ...703..441D,,18.23,17.62,,1
9278,[DMM2009] J004350.46+410224.3,1111.79,0,2009ApJ...703..441D,,18.36,17.53,,1
9279,[DMM2009] J004350.55+410335.0,1061.45,0,2009ApJ...703..441D,,18.73,17.95,,1
9280,[DMM2009] J004350.66+411314.8,767.53,0,2009ApJ...703..441D,,15.88,15.28,,1
9281,[DMM2009] J004351.29+412421.9,901.6,0,2009ApJ...703..441D,,17.97,17.27,,1
9282,[DMM2009] J004351.60+415138.5,2260.65,0,2009ApJ...703..441D,,17.52,16.73,,1
9283,[DMM2009] J004351.69+405420.1,1513.41,0,2009ApJ...703..441D,,17.62,16.45,,1
9284,[DMM2009] J004352.32+412333.9,886.24,0,2009ApJ...703..441D,,17.38,16.69,,1
9285,[DMM2009] J004352.44+410605.8,976.37,0,2009ApJ...703..441D,,17.11,16.35,,1
9286,[DMM2009] J004352.86+420406.9,2979.86,0,2009ApJ...703..441D,,17.42,16.73,,1
9287,[DMM2009] J004353.19+411840.4,790.92,0,2009ApJ...703..441D,,16.09,15.25,,1
9288,[DMM2009] J004353.43+410412.3,1058.35,0,2009ApJ...703..441D,,17.1,16.15,,1
9289,[DMM2009] J004353.47+405308.5,1585.47,0,2009ApJ...703..441D,,18.92,17.96,,1
9290,[DMM2009] J004353.51+420117.4,2818.46,0,2009ApJ...703..441D,,17.82,16.93,,1
9291,[DMM2009] J004354.19+415353.7,2397.73,0,2009ApJ...703..441D,,16.05,15.52,,1
9292,[DMM2009] J004354.29+420017.3,2763.26,0,2009ApJ...703..441D,,17.23,16.42,,1
9293,[DMM2009] J004355.26+405523.0,1480.56,0,2009ApJ...703..441D,,18.12,17.22,,1
9294,[DMM2009] J004355.68+411618.6,804.36,0,2009ApJ...703..441D,,17.71,16.63,,1
9295,[DMM2009] J004355.92+420350.2,2972.77,0,2009ApJ...703..441D,,17.41,16.81,,1
9296,[DMM2009] J004356.86+420008.3,2762.97,0,2009ApJ...703..441D,,17.15,16.42,,1
9297,[DMM2009] J004356.92+415945.4,2741.35,0,2009ApJ...703..441D,,16.87,16.03,,1
9298,[DMM2009] J004357.12+411633.3,820.97,0,2009ApJ...703..441D,,16.47,15.74,,1
9299,[DMM2009] J004357.29+415625.1,2552.21,0,2009ApJ...703..441D,,18.09,17.56,,1
